cycle,source_component,source_file,participants_with_data,candidate_rows,patient_like_candidates,observation_like_candidates,json_ready_candidates,needs_linked_context_candidates,good_for_pairing_candidates,selected_variables
2017-2018,Demographics,DEMO_J.xpt,9254,9254,9254,0,9254,2,9252,7
2017-2018,Examination,BMX_J.xpt,8597,62382,0,62382,62382,0,62382,10
2017-2018,Examination,BPX_J.xpt,8281,48199,0,48199,48199,0,46660,10
2017-2018,Laboratory,BIOPRO_J.xpt,5905,82623,0,82623,82623,17705,64918,14
2017-2018,Laboratory,GHB_J.xpt,6045,6045,0,6045,6045,0,6045,1
2017-2018,Laboratory,TCHOL_J.xpt,6738,6738,0,6738,6738,0,6738,1
